source,target,property_id,property_label
Q2408955,Q205057,P131,http://www.wikidata.org/prop/direct/P131
Q2408955,Q25755314,P166,http://www.wikidata.org/prop/direct/P166
Q2408955,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q2408955,Q200538,P31,http://www.wikidata.org/prop/direct/P31
Q2408955,Q110319947,P3259,http://www.wikidata.org/prop/direct/P3259
Q2408955,Q419,P495,http://www.wikidata.org/prop/direct/P495
Q2408955,Q112898263,P6104,http://www.wikidata.org/prop/direct/P6104
Q60643381,Q1065053,P138,http://www.wikidata.org/prop/direct/P138
Q60643381,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q60643381,Q375011,P31,http://www.wikidata.org/prop/direct/P31
Q60643381,Q2729,P837,http://www.wikidata.org/prop/direct/P837
Q60643381,Q2730,P837,http://www.wikidata.org/prop/direct/P837
Q60643381,Q2731,P837,http://www.wikidata.org/prop/direct/P837
Q42833695,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42833695,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42833695,Q1920482,P131,http://www.wikidata.org/prop/direct/P131
Q42833695,Q3825462,P276,http://www.wikidata.org/prop/direct/P276
Q42834609,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42834609,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42834609,Q1920602,P131,http://www.wikidata.org/prop/direct/P131
Q42834609,Q2718575,P276,http://www.wikidata.org/prop/direct/P276
Q42835067,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42835067,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42835067,Q1920602,P131,http://www.wikidata.org/prop/direct/P131
Q42835067,Q2718526,P276,http://www.wikidata.org/prop/direct/P276
Q42835562,Q419,P17,http://www.wikidata.org/prop/direct/P17
Q42835562,Q2065736,P31,http://www.wikidata.org/prop/direct/P31
Q42835562,Q1920500,P131,http://www.wikidata.org/prop/direct/P131
Q42835562,Q3312971,P276,http://www.wikidata.org/prop/direct/P276
