nodo,tipo,dimension,grado_centralidad,intermediacion
Q2408955,central,,0.0140845070422535,0.0
Q205057,target,Identidad,0.1514084507042253,0.0006407704175583
Q419,intermediate,Identidad,0.897887323943662,0.0058602498382521
Q7215033,target,Geográfica,0.0035211267605633,0.0
Q130472892,target,Geográfica,0.0035211267605633,0.0
Q130476514,target,Geográfica,0.0035211267605633,0.0
Q35145,target,Identidad,0.0070422535211267,0.0
Q35147,target,Identidad,0.0070422535211267,0.0
Q3437230,target,Identidad,0.0070422535211267,0.0
Q3446617,target,Identidad,0.0070422535211267,0.0
Q3572572,target,Identidad,0.0070422535211267,0.0
Q3915441,target,Identidad,0.0070422535211267,0.0
Q3915557,target,Identidad,0.0070422535211267,0.0
Q7260479,target,Identidad,0.0070422535211267,0.0
Q12953837,target,Identidad,0.0070422535211267,0.0
Q12953838,target,Identidad,0.0070422535211267,0.0
Q15342275,target,Identidad,0.0070422535211267,0.0
Q108109790,target,Geográfica,0.0035211267605633,0.0
Q115997919,target,Geográfica,0.0035211267605633,0.0
Q861184,target,Geográfica,0.0035211267605633,0.0
Q5582862,target,Geográfica,0.0035211267605633,0.0
Q205068,target,Identidad,0.0070422535211267,0.0
Q205104,target,Identidad,0.0070422535211267,0.0
Q205112,target,Identidad,0.0070422535211267,0.0
Q207424,target,Identidad,0.0070422535211267,0.0
Q207973,target,Identidad,0.0070422535211267,0.0
Q208185,target,Identidad,0.0070422535211267,0.0
Q210896,target,Identidad,0.0070422535211267,0.0
Q584864,target,Geográfica,0.0035211267605633,0.0
Q746434,target,Geográfica,0.0035211267605633,0.0
Q951287,target,Geográfica,0.0035211267605633,0.0
Q1132101,target,Geográfica,0.0035211267605633,0.0
Q1343276,target,Geográfica,0.0035211267605633,0.0
Q1771879,target,Geográfica,0.0035211267605633,0.0
Q1920482,target,Geográfica,0.0035211267605633,0.0
Q1920500,target,Geográfica,0.0035211267605633,0.0
Q1920520,target,Geográfica,0.0035211267605633,0.0
Q1920602,target,Geográfica,0.0035211267605633,0.0
Q1920613,target,Geográfica,0.0035211267605633,0.0
Q1947973,target,Geográfica,0.0035211267605633,0.0
Q1948019,target,Geográfica,0.0035211267605633,0.0
Q5390,target,Identidad,0.0070422535211267,0.0
Q777794,target,Geográfica,0.0035211267605633,0.0
Q106474688,target,Identidad,0.0035211267605633,0.0
Q18,target,Identidad,0.0035211267605633,0.0
Q3624078,target,Identidad,0.0035211267605633,0.0
Q2868,target,Identidad,0.0035211267605633,0.0
Q1321,target,Identidad,0.0035211267605633,0.0
Q4530,target,Identidad,0.0035211267605633,0.0
Q4627,target,Identidad,0.0035211267605633,0.0
Q5218,target,Identidad,0.0035211267605633,0.0
Q204656,target,Identidad,0.0035211267605633,0.0
Q155,target,Identidad,0.0035211267605633,0.0
Q298,target,Identidad,0.0035211267605633,0.0
Q736,target,Identidad,0.0035211267605633,0.0
Q739,target,Identidad,0.0035211267605633,0.0
Q750,target,Identidad,0.0035211267605633,0.0
Q199821,target,Identidad,0.0035211267605633,0.0
Q41954,target,Identidad,0.0035211267605633,0.0
Q4944,target,Identidad,0.0035211267605633,0.0
Q49892,target,Identidad,0.0035211267605633,0.0
Q200938,target,Identidad,0.0035211267605633,0.0
Q201162,target,Identidad,0.0035211267605633,0.0
Q205078,target,Identidad,0.0035211267605633,0.0
Q205089,target,Identidad,0.0035211267605633,0.0
Q205126,target,Identidad,0.0035211267605633,0.0
Q207413,target,Identidad,0.0035211267605633,0.0
Q208182,target,Identidad,0.0035211267605633,0.0
Q208183,target,Identidad,0.0035211267605633,0.0
Q208186,target,Identidad,0.0035211267605633,0.0
Q209597,target,Identidad,0.0035211267605633,0.0
Q210061,target,Identidad,0.0035211267605633,0.0
Q211208,target,Identidad,0.0035211267605633,0.0
Q211793,target,Identidad,0.0035211267605633,0.0
Q211795,target,Identidad,0.0035211267605633,0.0
Q215221,target,Identidad,0.0035211267605633,0.0
Q505220,target,Identidad,0.0035211267605633,0.0
Q2634400,target,Identidad,0.0035211267605633,0.0
Q7251405,target,Identidad,0.0035211267605633,0.0
Q160255,target,Identidad,0.0035211267605633,0.0
Q4359289,target,Identidad,0.0035211267605633,0.0
Q1357543,target,Identidad,0.0035211267605633,0.0
Q3649429,target,Identidad,0.0035211267605633,0.0
Q2842477,target,Identidad,0.0035211267605633,0.0
Q12585,target,Identidad,0.0035211267605633,0.0
Q1065,target,Identidad,0.0035211267605633,0.0
Q4230,target,Identidad,0.0035211267605633,0.0
Q7809,target,Identidad,0.0035211267605633,0.0
Q7817,target,Identidad,0.0035211267605633,0.0
Q7825,target,Identidad,0.0035211267605633,0.0
Q8475,target,Identidad,0.0035211267605633,0.0
Q17495,target,Identidad,0.0035211267605633,0.0
Q123759,target,Identidad,0.0035211267605633,0.0
Q170424,target,Identidad,0.0035211267605633,0.0
Q170481,target,Identidad,0.0035211267605633,0.0
