nodo_id,nombre_nodo,tipo,dimension,grado_centralidad,intermediacion,grado,es_principal
Q419,Perú,intermediate,Geográfica,0.7881619937694704,0.004848130841121495,253,False
Q205057,Departamento de Cusco,target,N/A,0.06853582554517133,0.00029205607476635517,22,False
Q1065053,Virgen del Carmen,intermediate,N/A,0.059190031152647975,0.0003309968847352025,19,False
Q2731,16 de julio,intermediate,N/A,0.040498442367601244,0.0002044392523364486,13,False
Q2729,17 de julio,intermediate,N/A,0.037383177570093455,9.735202492211839e-05,12,False
Q2730,18 de julio,intermediate,N/A,0.037383177570093455,9.735202492211839e-05,12,False
Q60643381,Q60643381,central,Central,0.024922118380062305,0.00041861370716510905,8,True
Q200538,fiesta,intermediate,Identidad,0.024922118380062305,0.00012169003115264798,8,False
Q2408955,Q2408955,central,Central,0.024922118380062305,0.00020930685358255452,8,True
Q375011,festividad religiosa,intermediate,Identidad,0.021806853582554516,0.00011682242990654206,7,False
Q110319947,Lista Representativa del Patrimonio Cultural Inmaterial de la Humanidad,intermediate,N/A,0.01557632398753894,7.788161993769471e-05,5,False
Q132,domingo,target,N/A,0.009345794392523364,0.0,3,False
Q14795564,determinador para fecha de ocurrencia periódica,target,Identidad,0.009345794392523364,0.0,3,False
Q25755314,Gran Cruz de la Orden El Sol del Perú,intermediate,N/A,0.009345794392523364,3.8940809968847354e-05,3,False
Q121,julio,target,Cultural,0.009345794392523364,0.0,3,False
Q128,miércoles,target,N/A,0.009345794392523364,0.0,3,False
Q131,sábado,target,N/A,0.009345794392523364,0.0,3,False
Q129,jueves,target,N/A,0.009345794392523364,0.0,3,False
Q105,lunes,target,N/A,0.009345794392523364,0.0,3,False
Q130,viernes,target,N/A,0.009345794392523364,0.0,3,False
Q127,martes,target,N/A,0.009345794392523364,0.0,3,False
Q5390,UTC-05:00,target,N/A,0.006230529595015576,0.0,2,False
Q3915441,machiguenga,target,N/A,0.006230529595015576,0.0,2,False
Q112898263,WikiProyecto patrimonio cultural inmaterial,intermediate,N/A,0.006230529595015576,1.9470404984423677e-05,2,False
Q3572572,Q3572572,target,N/A,0.006230529595015576,0.0,2,False
Q3446617,Huachipaeri,target,N/A,0.006230529595015576,0.0,2,False
Q6173448,Wikipedia:Lista de artículos que toda Wikipedia debería tener/Expandida,target,N/A,0.006230529595015576,0.0,2,False
Q3437230,asháninca,target,N/A,0.006230529595015576,0.0,2,False
Q35145,quechua ayacuchano,target,N/A,0.006230529595015576,0.0,2,False
Q35147,quechua cuzqueño,target,N/A,0.006230529595015576,0.0,2,False
Q15342275,pucapucari,target,N/A,0.006230529595015576,0.0,2,False
Q12953837,Q12953837,target,N/A,0.006230529595015576,0.0,2,False
Q12953838,Q12953838,target,N/A,0.006230529595015576,0.0,2,False
Q7260479,quechua puneño,target,N/A,0.006230529595015576,0.0,2,False
Q3915557,caquinte,target,N/A,0.006230529595015576,0.0,2,False
Q18,América del Sur,target,N/A,0.003115264797507788,0.0,1,False
Q28914,santo patrón,target,N/A,0.003115264797507788,0.0,1,False
Q130748394,fiesta religiosa,target,N/A,0.003115264797507788,0.0,1,False
Q124737632,Q124737632,target,N/A,0.003115264797507788,0.0,1,False
Q126727085,Q126727085,target,N/A,0.003115264797507788,0.0,1,False
Q126003991,Q126003991,target,N/A,0.003115264797507788,0.0,1,False
Q120962089,Q120962089,target,N/A,0.003115264797507788,0.0,1,False
Q112225065,Q112225065,target,N/A,0.003115264797507788,0.0,1,False
Q44388,Fgura,target,N/A,0.003115264797507788,0.0,1,False
Q23800,La Valeta,target,N/A,0.003115264797507788,0.0,1,False
Q842490,Organización para la Prohibición de Armas Químicas,target,N/A,0.003115264797507788,0.0,1,False
Q827525,Asociación Internacional de Fomento,target,N/A,0.003115264797507788,0.0,1,False
Q656801,Corporación Financiera Internacional,target,N/A,0.003115264797507788,0.0,1,False
Q605326,Organización Mundial de Aduanas,target,N/A,0.003115264797507788,0.0,1,False
Q471690,Comunidad Andina,target,N/A,0.003115264797507788,0.0,1,False
Q3369762,Organismo para la Proscripción de las Armas Nucleares en la América Latina y el Caribe,target,N/A,0.003115264797507788,0.0,1,False
Q5611262,Grupo para las observaciones de la Tierra,target,N/A,0.003115264797507788,0.0,1,False
Q298,Chile,target,N/A,0.003115264797507788,0.0,1,False
Q739,Colombia,target,N/A,0.003115264797507788,0.0,1,False
Q750,Bolivia,target,N/A,0.003115264797507788,0.0,1,False
Q155,Brasil,target,N/A,0.003115264797507788,0.0,1,False
Q159583,Santa Sede,target,N/A,0.003115264797507788,0.0,1,False
Q200935,Huascarán,target,N/A,0.003115264797507788,0.0,1,False
Q653884,Hispanoamérica,target,N/A,0.003115264797507788,0.0,1,False
Q68478,Guerra de Independencia de Perú,target,N/A,0.003115264797507788,0.0,1,False
Q5447343,Fiestas Patrias en el Perú,target,N/A,0.003115264797507788,0.0,1,False
Q7130836,Categoría:Perú,target,N/A,0.003115264797507788,0.0,1,False
Q7336337,Portal:Perú,target,N/A,0.003115264797507788,0.0,1,False
Q932146,Banco Central de Reserva del Perú,target,N/A,0.003115264797507788,0.0,1,False
Q8851,Málaga,target,N/A,0.003115264797507788,0.0,1,False
Q11185474,Q11185474,target,N/A,0.003115264797507788,0.0,1,False
Q1500631,guerra peruano-ecuatoriana,target,N/A,0.003115264797507788,0.0,1,False
Q1760930,Conflicto del Falso Paquisha,target,N/A,0.003115264797507788,0.0,1,False
Q6083745,Q6083745,target,N/A,0.003115264797507788,0.0,1,False
Q8067934,Categoría:Nacidos en Perú,target,N/A,0.003115264797507788,0.0,1,False
Q7482563,Categoría:Fallecidos en Perú,target,N/A,0.003115264797507788,0.0,1,False
Q3174312,país libre,target,N/A,0.003115264797507788,0.0,1,False
Q5803287,Depresión de Sechura,target,N/A,0.003115264797507788,0.0,1,False
Q899770,Centro Internacional de Arreglo de Diferencias Relativas a Inversiones,target,N/A,0.003115264797507788,0.0,1,False
Q7521945,Categoría:Películas rodadas en Perú,target,N/A,0.003115264797507788,0.0,1,False
Q8328735,Q8328735,target,N/A,0.003115264797507788,0.0,1,False
Q7031247,Categoría:Peruanos,target,N/A,0.003115264797507788,0.0,1,False
Q217884,PE,target,N/A,0.003115264797507788,0.0,1,False
Q316648,historia del Perú,target,Patrimonio,0.003115264797507788,0.0,1,False
Q2739669,Cultura del Perú,target,N/A,0.003115264797507788,0.0,1,False
Q2342212,geografía del Perú,target,N/A,0.003115264797507788,0.0,1,False
Q533806,911,target,N/A,0.003115264797507788,0.0,1,False
Q2669184,iquito,target,N/A,0.003115264797507788,0.0,1,False
Q1321,español,target,N/A,0.003115264797507788,0.0,1,False
Q5218,lenguas quechuas,target,N/A,0.003115264797507788,0.0,1,False
Q72256,español amazónico,target,N/A,0.003115264797507788,0.0,1,False
Q642843,candoshi,target,N/A,0.003115264797507788,0.0,1,False
Q966883,Pisabo,target,N/A,0.003115264797507788,0.0,1,False
Q967031,Jebero,target,N/A,0.003115264797507788,0.0,1,False
Q14565199,derecha,target,N/A,0.003115264797507788,0.0,1,False
Q302556,Enciclopedia Católica,target,N/A,0.003115264797507788,0.0,1,False
Q602358,Diccionario Enciclopédico Brockhaus y Efron,target,N/A,0.003115264797507788,0.0,1,False
Q867541,Encyclopædia Britannica (11ª edición),target,N/A,0.003115264797507788,0.0,1,False
Q1374339,Q1374339,target,N/A,0.003115264797507788,0.0,1,False
Q3181656,The Nuttall Encyclopaedia,target,N/A,0.003115264797507788,0.0,1,False
Q4114391,Enciclopedia militar Sytin,target,N/A,0.003115264797507788,0.0,1,False
Q4532138,Diccionario Enciclopédico Granat,target,N/A,0.003115264797507788,0.0,1,False
Q19180675,Pequeño diccionario enciclopédico de Brockhaus y Efron,target,N/A,0.003115264797507788,0.0,1,False
Q3182567,Idioma yagua,target,N/A,0.003115264797507788,0.0,1,False
Q1526037,huambisa,target,N/A,0.003115264797507788,0.0,1,False
Q1526525,Idioma shawi,target,N/A,0.003115264797507788,0.0,1,False
Q1526530,aguaruna,target,N/A,0.003115264797507788,0.0,1,False
Q1579560,urarina,target,N/A,0.003115264797507788,0.0,1,False
Q1815205,ticuna,target,N/A,0.003115264797507788,0.0,1,False
Q1957508,taushiro,target,N/A,0.003115264797507788,0.0,1,False
Q1957612,omurano,target,N/A,0.003115264797507788,0.0,1,False
Q2155119,chamicuro,target,N/A,0.003115264797507788,0.0,1,False
Q2375468,bora,target,N/A,0.003115264797507788,0.0,1,False
Q2475442,culina,target,N/A,0.003115264797507788,0.0,1,False
Q2591221,arabela,target,N/A,0.003115264797507788,0.0,1,False
Q2591230,Kashinawa,target,N/A,0.003115264797507788,0.0,1,False
Q2591243,cholón,target,N/A,0.003115264797507788,0.0,1,False
Q2640935,murui,target,N/A,0.003115264797507788,0.0,1,False
Q2669150,Idioma amahuaca,target,N/A,0.003115264797507788,0.0,1,False
Q3915508,lengua de señas peruana,target,N/A,0.003115264797507788,0.0,1,False
Q2671988,Idioma shipibo,target,N/A,0.003115264797507788,0.0,1,False
Q2823170,Achuar,target,N/A,0.003115264797507788,0.0,1,False
Q2846171,andoa,target,N/A,0.003115264797507788,0.0,1,False
Q2871740,tekiraka,target,N/A,0.003115264797507788,0.0,1,False
Q2933175,cahuarano,target,N/A,0.003115264797507788,0.0,1,False
Q2937196,Kapanawa,target,N/A,0.003115264797507788,0.0,1,False
Q2980381,Idioma ese eja,target,N/A,0.003115264797507788,0.0,1,False
Q2981620,Matsés,target,N/A,0.003115264797507788,0.0,1,False
Q3026110,Idioma yaminahua,target,N/A,0.003115264797507788,0.0,1,False
Q3052971,Idioma isconahua,target,N/A,0.003115264797507788,0.0,1,False
Q3088540,yanesha,target,N/A,0.003115264797507788,0.0,1,False
Q3121032,Q3121032,target,N/A,0.003115264797507788,0.0,1,False
Q3135164,hibito,target,N/A,0.003115264797507788,0.0,1,False
Q3135432,yine,target,N/A,0.003115264797507788,0.0,1,False
Q3141869,waripano,target,N/A,0.003115264797507788,0.0,1,False
Q20526610,aimara central,target,N/A,0.003115264797507788,0.0,1,False
Q3182577,Ocaina,target,N/A,0.003115264797507788,0.0,1,False
Q3327405,axininca,target,N/A,0.003115264797507788,0.0,1,False
Q3331203,aguano,target,N/A,0.003115264797507788,0.0,1,False
Q3342992,nomatsiguenga,target,N/A,0.003115264797507788,0.0,1,False
Q3355834,Idioma maijuna,target,N/A,0.003115264797507788,0.0,1,False
Q3409318,aushiri,target,N/A,0.003115264797507788,0.0,1,False
Q3446596,mashco piro,target,N/A,0.003115264797507788,0.0,1,False
Q3450481,ashéninka,target,N/A,0.003115264797507788,0.0,1,False
Q3450504,Idioma resígaro,target,N/A,0.003115264797507788,0.0,1,False
Q3450601,Q3450601,target,N/A,0.003115264797507788,0.0,1,False
Q3477218,Q3477218,target,N/A,0.003115264797507788,0.0,1,False
Q3501825,Q3501825,target,N/A,0.003115264797507788,0.0,1,False
Q3501858,Q3501858,target,N/A,0.003115264797507788,0.0,1,False
Q3501868,Q3501868,target,N/A,0.003115264797507788,0.0,1,False
Q3508036,Q3508036,target,N/A,0.003115264797507788,0.0,1,False
Q205068,Departamento de Arequipa,target,N/A,0.003115264797507788,0.0,1,False
Q3915654,muniche,target,N/A,0.003115264797507788,0.0,1,False
Q5359560,cashibo-cacataibo,target,N/A,0.003115264797507788,0.0,1,False
Q6094343,quechua de Huailas,target,N/A,0.003115264797507788,0.0,1,False
Q7190661,Pichis Ashéninka,target,N/A,0.003115264797507788,0.0,1,False
Q7451029,Sensi,target,N/A,0.003115264797507788,0.0,1,False
Q12953831,Q12953831,target,N/A,0.003115264797507788,0.0,1,False
Q12953835,Q12953835,target,N/A,0.003115264797507788,0.0,1,False
Q12953839,quechua de Cajatambo,target,N/A,0.003115264797507788,0.0,1,False
Q12953843,jauja huanca,target,N/A,0.003115264797507788,0.0,1,False
Q12953840,Q12953840,target,N/A,0.003115264797507788,0.0,1,False
Q12953841,quechua de Corongo,target,N/A,0.003115264797507788,0.0,1,False
Q12953844,Quechua del norte de Junín,target,N/A,0.003115264797507788,0.0,1,False
Q12953848,Q12953848,target,N/A,0.003115264797507788,0.0,1,False
Q12953881,sharanahua,target,N/A,0.003115264797507788,0.0,1,False
Q15338035,Iñapari,target,N/A,0.003115264797507788,0.0,1,False
Q208183,Departamento de Piura,target,N/A,0.003115264797507788,0.0,1,False
Q208186,Departamento de Ica,target,N/A,0.003115264797507788,0.0,1,False
Q25559675,quechua de Margos-Yarowilca-Lauricocha,target,N/A,0.003115264797507788,0.0,1,False
Q25559676,Q25559676,target,N/A,0.003115264797507788,0.0,1,False
Q25559677,Quechua de Chiquián,target,N/A,0.003115264797507788,0.0,1,False
Q7112412,Q7112412,target,N/A,0.003115264797507788,0.0,1,False
Q8607449,Q8607449,target,N/A,0.003115264797507788,0.0,1,False
Q511629,economía del Perú,target,N/A,0.003115264797507788,0.0,1,False
Q1185963,demografía del Perú,target,N/A,0.003115264797507788,0.0,1,False
Q2868,Lima,target,N/A,0.003115264797507788,0.0,1,False
Q106474688,Dina Boluarte,target,N/A,0.003115264797507788,0.0,1,False
Q3624078,estado soberano,target,Identidad,0.003115264797507788,0.0,1,False
Q204656,sol,target,N/A,0.003115264797507788,0.0,1,False
Q4627,aymara,target,N/A,0.003115264797507788,0.0,1,False
Q736,Ecuador,target,N/A,0.003115264797507788,0.0,1,False
Q199821,Gran Colombia,target,N/A,0.003115264797507788,0.0,1,False
Q3649429,Administración pública en el Perú,target,N/A,0.003115264797507788,0.0,1,False
Q2842477,Tribunal Constitucional del Perú,target,N/A,0.003115264797507788,0.0,1,False
Q12585,América Latina,target,Cultural,0.003115264797507788,0.0,1,False
Q205104,Departamento de Puno,target,N/A,0.003115264797507788,0.0,1,False
Q205112,Departamento de Ayacucho,target,N/A,0.003115264797507788,0.0,1,False
Q207424,Departamento de Ucayali,target,N/A,0.003115264797507788,0.0,1,False
Q207973,Departamento de Junín,target,N/A,0.003115264797507788,0.0,1,False
Q208185,Departamento de Apurímac,target,N/A,0.003115264797507788,0.0,1,False
Q210896,Departamento de Madre de Dios,target,N/A,0.003115264797507788,0.0,1,False
Q200938,Departamento de Loreto,target,N/A,0.003115264797507788,0.0,1,False
Q201162,Departamento de Amazonas,target,N/A,0.003115264797507788,0.0,1,False
